PLAYER_NAME,PLAYER_ID
Tyrese Haliburton,1630169
Tyrese Martin,1631213
Tyrese Maxey,1630178
Tyus Jones,1626145
Udoka Azubuike,1628962
Usman Garuba,1630586
Victor Oladipo,203506
Walker Kessler,1631117
Wenyen Gabriel,1629117
Wesley Matthews,202083
Will Barton,203115
Willy Hernangomez,1626195
Xavier Tillman,1630214
Yuta Watanabe,1629139
Zach Collins,1628380
Zach LaVine,203897
Zeke Nnaji,1630192
Ziaire Williams,1630533
Zion Williamson,1629627
